cut,cutAccError,difference,elevation,fill,fillAccError
394283.72562088,4.445876811147093e-09,394283.72562088,0.0,0.0,0.0
360671.5655284406,4.453453592794352e-09,359996.2764669768,1.0,675.2890614637945,3.787812761956657e-10
327256.52127709554,4.463266331724201e-09,325708.82731307356,2.0,1547.693964022008,7.553414672925378e-10
294346.671760376,4.478722391031884e-09,291421.3781591704,3.0,2925.2936012056307,1.1262713582469951e-09
261698.2035331759,4.497088340586055e-09,257133.92900526687,4.0,4564.27452790903,1.4942921554670514e-09
229396.20215266792,4.519365234970516e-09,222846.47985136355,5.0,6549.7223013043695,1.8583614864263231e-09
198657.51912850406,4.559112128512248e-09,188559.03069746046,6.0,10098.488431043603,2.2049820340816794e-09
168979.28830946135,4.61066731224973e-09,154271.58154355717,7.0,14707.706765904179,2.539796408918661e-09
140787.34213692346,4.678877583787668e-09,119984.13238965426,8.0,20803.209747269197,2.857956024920855e-09
113296.27577544824,4.755050766469244e-09,85696.68323575117,9.0,27599.59253969707,3.168152441934458e-09
88100.16515580338,4.857091938208535e-09,51409.23408184736,10.0,36690.93107395602,3.4524808698903477e-09
66252.634522014,4.996929470768995e-09,17121.784927944012,11.0,49130.849594069994,3.699012937025066e-09
47747.92667874601,5.174455129391242e-09,17165.664225959277,12.0,64913.590904705285,3.907856878098e-09
32664.552363255178,5.390729950556589e-09,51453.11337986274,13.0,84117.66574311792,4.077951656627824e-09
21531.377813610598,5.651478935210127e-09,85740.56253376632,14.0,107271.94034737692,4.203554038751792e-09
14066.850001984392,5.953595484861551e-09,120028.01168766938,15.0,134094.86168965377,4.287803403931705e-09
7612.489430775167,6.267318853333562e-09,154315.46084157238,16.0,161927.95027234755,4.3604480968372075e-09
2757.8446805900894,6.599244409164698e-09,188602.90999547648,17.0,191360.75467606657,4.41489294367706e-09
